eq_id;method;predicted_variable;output_unit;species_id;species_name_fr;species_code;validity_region;input_variable;input_unit;formula_type;explicit_formula;coeff_a;coeff_b;coeff_c;coeff_d;coeff_e;coeff_f;validity_range;remarks;reference_source;colonne1
d_vc22_br_qrb;dagnelie;vc22br;m^3;5;chene rouge;QUERCUS_RUBRA;wallonie;c130 ;c130_cm;d_vc22_br ;vc22_br=a+b*c130+c*c130^2+d*c130^3;0.20549;-0.005751;0.000039377;7.3612E-08;;;c130 [35-269]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
c150_c130_qrb;dagnelie;c130;cm;5;chene rouge;QUERCUS_RUBRA;wallonie;c150 ;c150_cm;c150_c130;c130=a*c150+b;1.015391;-0.3086956;;;;;c150 [35-265]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1_fsy;dagnelie;vc22;m^3;6;hetre;FAGUS_SYLVATICA;wallonie;c130;c130_cm;d_vc22_1;vc22=a+b*c130+c*c130^2+d*c130^3;0.01734;-0.003008;0.00011589;1.3782E-09;;;c130 [35-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1g_fsy;dagnelie;vc22;m^3;6;hetre;FAGUS_SYLVATICA;wallonie;c130,hdom;c130_cm, hdom_m;d_vc22_1g;vc22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;0.031293;-0.00077641;0.000017201;-2.6417E-08;-0.0021702;3.0199E-06;c130 [35-298]cm hdom [16-40]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_2_fsy;dagnelie;vc22;m^3;6;hetre;FAGUS_SYLVATICA;wallonie;c130,htot;c130_cm, htot_m;d_vc22_2;vc22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0.015572;0.00092314;-7.1407E-06;-7.7179E-08;-0.0013528;4.0364E-06;c130 [35-298]cm htot [08-42]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_br_fsy;dagnelie;vc22br;m^3;6;hetre;FAGUS_SYLVATICA;wallonie;c130 ;c130_cm;d_vc22_br ;vc22_br=a+b*c130+c*c130^2+d*c130^3;0.081516;-0.0017371;-2.3467E-06;2.1432E-07;;;c130 [35-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
c150_c130_fsy;dagnelie;c130;cm;6;hetre;FAGUS_SYLVATICA;wallonie;c150;c150_cm;c150_c130;c130=a*c150+b;1.010195;0.0214693;;;;;c150 [35-295]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1_app;dagnelie;vc22;m^3;7;erable sycomore;ACER_PSEUDOPLATANUS;wallonie;c130;c130_cm;d_vc22_1;vc22=a+b*c130+c*c130^2+d*c130^3;-0.019508;0.00015072;0.000057816;8.095E-08;;;c130 [36-249]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1g_app;dagnelie;vc22;m^3;7;erable sycomore;ACER_PSEUDOPLATANUS;wallonie;c130,hdom;c130_cm, hdom_m;d_vc22_1g;vc22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;0.031554;0.0014656;-1.1105E-06;6.1274E-08;-0.0047547;0.000002663;c130 [36-249]cm hdom [16-24]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_2_app;dagnelie;vc22;m^3;7;erable sycomore;ACER_PSEUDOPLATANUS;wallonie;c130,htot;c130_cm, htot_m;d_vc22_2;vc22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;0.010343;-0.0014341;0.000034521;-1.3053E-07;0.00077115;3.0231E-06;c130 [36-249]cm htot [12-30]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_br_app;dagnelie;vc22br;m^3;7;erable sycomore;ACER_PSEUDOPLATANUS;wallonie;c130 ;c130_cm;d_vc22_br ;vc22_br=a+b*c130+c*c130^2+d*c130^3;-0.11209;0.0049981;-0.000074575;4.1686E-07;;;c130 [36-249]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
c150_c130_app;dagnelie;c130;cm;7;erable sycomore;ACER_PSEUDOPLATANUS;wallonie;c150;c150_cm;c150_c130;c130=a*c150+b;1.013891;-0.0355732;;;;;c150 [35-245]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1_fex;dagnelie;vc22;m^3;10;frene;FRAXINUS_EXCELSIOR;wallonie;c130;c130_cm;d_vc22_1;vc22=a+b*c130+c*c130^2+d*c130^3;-0.040364;0.00017945;0.000076857;7.3601E-08;;;c130 [35-249]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1g_fex;dagnelie;vc22;m^3;10;frene;FRAXINUS_EXCELSIOR;wallonie;c130,hdom;c130_cm, hdom_m;d_vc22_1g;vc22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;-0.036774;0.0010185;2.4168E-06;8.7172E-08;-0.0011644;2.6033E-06;c130 [35-249]cm hdom [20-32]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_2_fex;dagnelie;vc22;m^3;10;frene;FRAXINUS_EXCELSIOR;wallonie;c130,htot;c130_cm, htot_m;d_vc22_2;vc22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0.039083;0.0019935;-0.000016148;-6.4188E-09;-0.00098341;3.8373E-06;c130 [35-249]cm htot [14-34]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_br_fex;dagnelie;vc22br;m^3;10;frene;FRAXINUS_EXCELSIOR;wallonie;c130 ;c130_cm;d_vc22_br ;vc22_br=a+b*c130+c*c130^2+d*c130^3;-0.044839;0.0023434;-0.000041648;3.2579E-07;;;c130 [35-249]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
c150_c130_fex;dagnelie;c130;cm;10;frene;FRAXINUS_EXCELSIOR;wallonie;c150;c150_cm;c150_c130;c130=a*c150+b;1.015697;-0.4703558;;;;;c150 [35-245]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1_ulm;dagnelie;vc22;m^3;11;orme;ULMUS_SP;wallonie;c130;c130_cm;d_vc22_1;vc22=a+b*c130+c*c130^2+d*c130^3;-0.0060582;-0.00126;0.000086604;1.5419E-08;;;c130 [35-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1g_ulm;dagnelie;vc22;m^3;11;orme;ULMUS_SP;wallonie;c130,hdom;c130_cm, hdom_m;d_vc22_1g;vc22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;-0.12683;0.0011719;9.7902E-06;4.9812E-08;0.0021198;0.000002226;c130 [35-298]cm hdom [18-30]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_2_ulm;dagnelie;vc22;m^3;11;orme;ULMUS_SP;wallonie;c130,htot;c130_cm, htot_m;d_vc22_2;vc22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0.034716;0.0013586;-0.000013402;-5.698E-08;0.00016516;3.8818E-06;c130 [35-298]cm htot [08-34]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_br_ulm;dagnelie;vc22br;m^3;11;orme;ULMUS_SP;wallonie;c130 ;c130_cm;d_vc22_br ;vc22_br=a+b*c130+c*c130^2+d*c130^3;0.12953;-0.0049679;0.000050852;-4.2375E-08;;;c130 [35-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
c150_c130_ulm;dagnelie;c130;cm;11;orme;ULMUS_SP;wallonie;c150;c150_cm;c150_c130;c130=a*c150+b;1.011111;0.2037037;;;;;c150 [35-295]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1_pav;dagnelie;vc22;m^3;12;meriser;PRUNUS_AVIUM;wallonie;c130;c130_cm;d_vc22_1;vc22=a+b*c130+c*c130^2+d*c130^3;0.048959;-0.002599;0.00008242;6.1636E-08;;;c130 [36-228]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1g_pav;dagnelie;vc22;m^3;12;meriser;PRUNUS_AVIUM;wallonie;c130,hdom;c130_cm, hdom_m;d_vc22_1g;vc22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;0.08292;-0.00073547;-5.4199E-06;6.8375E-08;-0.004083;0.000003696;c130 [36-228]cm hdom [14-24]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_2_pav;dagnelie;vc22;m^3;12;meriser;PRUNUS_AVIUM;wallonie;c130,htot;c130_cm, htot_m;d_vc22_2;vc22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0.002311;-0.00037474;0.000015103;-2.5175E-08;0.00033282;3.1943E-06;c130 [36-228]cm htot [10-28]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_br_pav;dagnelie;vc22br;m^3;12;meriser;PRUNUS_AVIUM;wallonie;c130 ;c130_cm;d_vc22_br ;vc22_br=a+b*c130+c*c130^2+d*c130^3;-0.017506;0.00093138;-0.00001966;0.17556;;;c130 [36-228]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
c150_c130_pav;dagnelie;c130;cm;12;meriser;PRUNUS_AVIUM;wallonie;c150;c150_cm;c150_c130;c130=a*c150+b;1.012857;0.1785714;;;;;c150 [35-225]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1_bsp;dagnelie;vc22;m^3;15;bouleau;BETULA_SP;wallonie;c130;c130_cm;d_vc22_1;vc22=a+b*c130+c*c130^2+d*c130^3;0.0071727;-0.0022222;0.00010536;-1.0867E-07;;;c130 [36-200]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1g_bsp;dagnelie;vc22;m^3;15;bouleau;BETULA_SP;wallonie;c130,hdom;c130_cm, hdom_m;d_vc22_1g;vc22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;0.033625;-0.0007522;0.000033851;-1.3071E-07;-0.0027675;2.7123E-06;c130 [36-200]cm hdom [12-30]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_2_bsp;dagnelie;vc22;m^3;15;bouleau;BETULA_SP;wallonie;c130,htot;c130_cm, htot_m;d_vc22_2;vc22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0.011392;-0.0001001;0.00002829;-1.8695E-07;-0.00059573;3.0811E-06;c130 [36-200]cm htot [08-30]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_br_bsp;dagnelie;vc22br;m^3;15;bouleau;BETULA_SP;wallonie;c130 ;c130_cm;d_vc22_br ;vc22_br=a+b*c130+c*c130^2+d*c130^3;-0.24892;0.0086317;-0.000098007;4.0531E-07;;;c130 [36-200]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
c150_c130_bsp;dagnelie;c130;cm;15;bouleau;BETULA_SP;wallonie;c150;c150_cm;c150_c130;c130=a*c150+b;1.024265;-0.378675;;;;;c150 [35-195]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1_agl;dagnelie;vc22;m^3;17;aulne glutineux;ALNUS_GLUTINOSA;wallonie;c130;c130_cm;d_vc22_1;vc22=a+b*c130+c*c130^2+d*c130^3;0.0071727;-0.0022222;0.00010536;-1.0867E-07;;;c130 [36-200]cm;Same coeff as BETULA_SP;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1g_agl;dagnelie;vc22;m^3;17;aulne glutineux;ALNUS_GLUTINOSA;wallonie;c130,hdom;c130_cm, hdom_m;d_vc22_1g;vc22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;0.033625;-0.0007522;0.000033851;-1.3071E-07;-0.0027675;2.7123E-06;c130 [36-200]cm hdom [12-30]m;Same coeff as BETULA_SP;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_2_agl;dagnelie;vc22;m^3;17;aulne glutineux;ALNUS_GLUTINOSA;wallonie;c130,htot;c130_cm, htot_m;d_vc22_2;vc22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0.011392;-0.0001001;0.00002829;-1.8695E-07;-0.00059573;3.0811E-06;c130 [36-200]cm htot [8-30]m;Same coeff as BETULA_SP;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_br_agl;dagnelie;vc22br;m^3;17;aulne glutineux;ALNUS_GLUTINOSA;wallonie;c130 ;c130_cm;d_vc22_br ;vc22_br=a+b*c130+c*c130^2+d*c130^3;-0.24892;0.0086317;-0.000098007;4.0531E-07;;;c130 [36-200]cm;Same coeff as BETULA_SP;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
c150_c130_agl;dagnelie;c130;cm;17;aulne glutineux;ALNUS_GLUTINOSA;wallonie;c150;c150_cm;c150_c130;c130=a*c150+b;1.024265;-0.378675;;;;;c150 [35-195]cm;Same coeff as BETULA_SP;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1_pab;dagnelie;vc22;m^3;36;epicea;PICEA_ABIES;wallonie;c130;c130_cm;d_vc22_1;vc22=a+b*c130+c*c130^2+d*c130^3;0.032253;-0.0040132;0.00013221;-1.8894E-08;;;c130 [26-270]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1g_pab;dagnelie;vc22;m^3;36;epicea;PICEA_ABIES;wallonie;c130,hdom;c130_cm, hdom_m;d_vc22_1g;vc22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;0.013556;-0.0012885;0.000045703;-7.7036E-08;-0.0011374;2.5837E-06;c130 [26-270]cm hdom [10-42]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_2_pab;dagnelie;vc22;m^3;36;epicea;PICEA_ABIES;wallonie;c130,htot;c130_cm, htot_m;d_vc22_2;vc22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0.010929;0.0013945;-9.5965E-06;-2.5164E-07;-0.0027922;4.8985E-06;c130 [26-270]cm htot [08-42]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
c150_c130_pab;dagnelie;c130;cm;36;epicea;PICEA_ABIES;wallonie;c150;c150_cm;c150_c130;c130=a*c150+b;1.019522;-0.3865942;;;;;c150 [26-265]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1_pme;dagnelie;vc22;m^3;38;douglas;PSEUDOTSUGA_MENZIESII;wallonie;c130;c130_cm;d_vc22_1;vc22=a+b*c130+c*c130^2+d*c130^3;0.083862;-0.0064217;0.00015693;-7.7168E-08;;;c130 [36-299]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1g_pme;dagnelie;vc22;m^3;38;douglas;PSEUDOTSUGA_MENZIESII;wallonie;c130,hdom;c130_cm, hdom_m;d_vc22_1g;vc22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;0.0014078;-0.0011755;0.000043342;1.4805E-08;-0.000087036;0.00000188;c130 [36-299]cm hdom [10-42]m ;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_2_pme;dagnelie;vc22;m^3;38;douglas;PSEUDOTSUGA_MENZIESII;wallonie;c130,htot;c130_cm, htot_m;d_vc22_2;vc22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0.021794;0.00064324;4.4914E-06;-1.5638E-07;-0.00022095;3.7555E-06;c130 [35-270]cm htot [08-42]m ;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
c150_c130_pme;dagnelie;c130;cm;38;douglas;PSEUDOTSUGA_MENZIESII;wallonie;c150;c150_cm;c150_c130;c130=a*c150+b;1.013919;-0.0744811;;;;;c150 [35-295]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1_lsp;dagnelie;vc22;m^3;39;meleze;LARIX_SP;wallonie;c130;c130_cm;d_vc22_1;vc22=a+b*c130+c*c130^2+d*c130^3;0.019784;-0.0031514;0.00012589;-5.0599E-08;;;c130 [35-240]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1g_lsp;dagnelie;vc22;m^3;39;meleze;LARIX_SP;wallonie;c130,hdom;c130_cm, hdom_m;d_vc22_1g;vc22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;-0.00017511;0.00050499;0.000015638;-7.4426E-08;-0.0021894;3.2361E-06;c130 [35-240]cm hdom [12-36]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_2_lsp;dagnelie;vc22;m^3;39;meleze;LARIX_SP;wallonie;c130,htot;c130_cm, htot_m;d_vc22_2;vc22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0.03088;0.0014885;-4.9257E-06;-1.2313E-07;-0.0011638;4.1134E-06;c130 [35-240]cm htot [10-36]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_br_lsp;dagnelie;vc22br;m^3;39;meleze;LARIX_SP;wallonie;c130 ;c130_cm;d_vc22_br ;vc22_br=a+b*c130+c*c130^2+d*c130^3;0.21632;-0.0041672;0.000020581;0;;;c130 [35-240]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
c150_c130_lsp;dagnelie;c130;cm;39;meleze;LARIX_SP;wallonie;c150;c150_cm;c150_c130;c130=a*c150+b;1.021169;-0.9054112;;;;;c150 [35-235]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1_psy;dagnelie;vc22;m^3;40;pin sylvestre;PINUS_SYLVESTRIS;wallonie;c130;c130_cm;d_vc22_1;vc22=a+b*c130+c*c130^2+d*c130^3;-0.0052616;-0.001393;0.000088771;0.00014349;;;c130 [36-236]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1g_psy;dagnelie;vc22;m^3;40;pin sylvestre;PINUS_SYLVESTRIS;wallonie;c130,hdom;c130_cm, hdom_m;d_vc22_1g;vc22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;-0.029634;0.0012079;4.4301E-06;7.0247E-08;-0.00065136;2.4096E-06;c130 [36-236]cm hdom [12-32]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_2_psy;dagnelie;vc22;m^3;40;pin sylvestre;PINUS_SYLVESTRIS;wallonie;c130,htot;c130_cm, htot_m;d_vc22_2;vc22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0.039836;0.0015505;-6.1835E-06;4.8022E-08;0.000073997;2.9607E-06;c130 [36-236]cm htot [10-34]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_br_psy;dagnelie;vc22br;m^3;40;pin sylvestre;PINUS_SYLVESTRIS;wallonie;c130 ;c130_cm;d_vc22_br ;vc22_br=a+b*c130+c*c130^2+d*c130^3;-0.037102;0.0016963;-0.000022619;1.0359E-07;;;c130 [36-236]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
c150_c130_psy;dagnelie;c130;cm;40;pin sylvestre;PINUS_SYLVESTRIS;wallonie;c150;c150_cm;c150_c130;c130=a*c150+b;1.006364;0.8075757;;;;;c150 [35-235]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1_csp;dagnelie;vc22;m^3;13;aubepine;CRATAEGUS_SP;wallonie;c130;c130_cm;d_vc22_1;vc22=a+b*c130+c*c130^2+d*c130^3;0.01734;-0.003008;0.00011589;1.3782E-09;;;c130 [35-298]cm;Same coeff as FAGUS_SYLVATICA;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1g_csp;dagnelie;vc22;m^3;13;aubepine;CRATAEGUS_SP;wallonie;c130,hdom;c130_cm, hdom_m;d_vc22_1g;vc22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;0.031293;-0.00077641;0.000017201;-2.6417E-08;-0.0021702;3.0199E-06;c130 [35-298]cm hdom [16-40]m;Same coeff as FAGUS_SYLVATICA;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_2_csp;dagnelie;vc22;m^3;13;aubepine;CRATAEGUS_SP;wallonie;c130,htot;c130_cm, htot_m;d_vc22_2;vc22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0.015572;0.00092314;-7.1407E-06;-7.7179E-08;-0.0013528;4.0364E-06;c130 [35-298]cm htot [08-42]m;Same coeff as FAGUS_SYLVATICA;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_br_csp;dagnelie;vc22br;m^3;13;aubepine;CRATAEGUS_SP;wallonie;c130 ;c130_cm;d_vc22_br ;vc22_br=a+b*c130+c*c130^2+d*c130^3;0.081516;-0.0017371;-2.3467E-06;2.1432E-07;;;c130 [35-298]cm;Same coeff as FAGUS_SYLVATICA;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
c150_c130_csp;dagnelie;c130;cm;13;aubepine;CRATAEGUS_SP;wallonie;c150;c150_cm;c150_c130;c130=a*c150+b;1.010195;0.0214693;;;;;c150 [35-295]cm;Same coeff as FAGUS_SYLVATICA;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1_psp;dagnelie;vc22;m^3;14;prunellier;PRUNUS_SP;wallonie;c130;c130_cm;d_vc22_1;vc22=a+b*c130+c*c130^2+d*c130^3;0.01734;-0.003008;0.00011589;1.3782E-09;;;c130 [35-298]cm;Same coeff as FAGUS_SYLVATICA;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
